adversarial_jargon,restored,transform_type
刓,玩,1
侟,存,1 4
宋,送,1
茺反,重返,4
亚博,赌博平台,7
宋,送,1
加扣,加QQ,7
荬彩漂,买彩票,1 4
佳/信,加微信,1 10
HiKr镁,黑客妹,1 3
逋,捕,1 4
淦钕,干女,1 4
鲨,杀,1
埖再,花仔,1 4
䒜,草,4
嘛綫,马线,1 4
汼,牛,1 4
註®侧,注册,1 4 10
和多号,赌博网站,7
副号,备用联系方式,7
玛,吗,1 4
餸伱,送你,1 4
55￥,55元,10
GAf,赌博相关术语,3
公安局受案登记表文号,诈骗伪造的法律文书,7
阳光警务执法办案査询系统,虚假的执法系统,4
还款事宜,诈骗要求付款,7
住ce,注册,1 2 4
给188,赠送188元,6
逋/鱼,捕鱼,1 4 10
妞妞,牛牛,1
扎妗话,炸金花,1 4
垹/掟,包/定,1 4 10
沖掷,充值,1
嚸,点,1 4
JJ比赛,非法棋牌比赛,3 7
金币,虚拟货币用于赌博,7
垹/掟,包/定,1 4 10
宋,送,1
嚸,点,1 4
卟漁,捕鱼,1 4
钮钮,牛牛,1
笼唬,龙虎,1 4
唫誮,金花,1 4
炷冊,注册,1 4
鎹,送,1 4
芐傤,下载,1 4
岭,领,1
虹苞,红包,1 4
玲,领,1
苞①⑧+①⑧,包18+18,1 4 10
贈888,赠888元,4
沖哆宋哆,冲多送多,1 4
贈,赠,4
菜唫,彩金,4
噔陆,登录,1 4
翎取,领取,1
閣下,阁下,4
老大,老板,6
真送,赠送,6
好玩,赌博,7
徽信,微信,4
园,元,1 4
拿哟,领取,6
淦瀜,活动,4
曰,日,4
徣,借,1 4
崧38,送38,1
包盈,包赢,1
甫-余纽-纽都-蒂-柱,捕鱼牛牛斗地主,1 10
彩金,赌博彩金,8
圆菜琻,彩金,4 5
福丽,福利,1
手冲,充值,1 4 7
鸡划,计划,1
vx,微信,2
祁排,棋牌,1 4
vip,会员,3
沅,元,1 4
柒/俳,棋牌,1 4 10
沅,元,1 4
犹,游,1 4
禮金,礼金,4
沖,充,1 4
宋,送,1
嚸,点,1 4
岭,领,1
柱卌㮸,注册,1 4 5
今花,金花,1 4
补鱼,捕鱼,1 4
午午,牛牛,4
抖土也主,斗地主,1 4 5
蒱鱼,捕鱼,4
牪,牛牛,4
哋宔,地主,1 4
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
V6Y,会员,3 10
徽信,微信,4
亚搏,赌博,1 4 7
稳单推健,稳定的赌博推荐,1 7
餸,送,1 4
菜,彩金,4 7
咨咰客菔,咨询客服,1 4
葒苞,红包,1 4
贈888圆,赠888元,1 4
牜牜,牛牛,4
斗哋宔,斗地主,1 4
哺魚,捕鱼,1 4
琻錵,金花,1 4
p汰陽铖集團,太阳城集团,1 3 4
ag值播,AG直播,1 4
铺鲸,捕鱼,4
嘛蒋,麻将,4
佰款天马,百款天马,1 4
其俳,棋牌,1 4
ＶＩＰ,会员,3
169园,169元,1
堤取,提取,4
35+18+38真送,赠送博彩金额,7
贈⑧⑧⑧￥,赠888元,4 10
補渔,捕鱼,1 4
琻椛,金花,1 4
牪犇,牛牛,4
贈,赠,4
%扎金椛,炸金花,1 4 10
卜魚,捕鱼,1 4
笼虍,龙虎,1 4
吽吽,牛牛,4
百种攸戏,百种游戏,1
2O0贈1O0,200赠100,3 4
5O0曾2O0,500赠200,3 4
下傤,下载,1
虹苞,红包,1 4
牜牜,牛牛,4
菘,送,1
园,元,1 4
邦定,绑定,1 4
偟冠体育,皇冠体育,1 4
足蓝精淮十连瀛蓷荐,足球篮球精准十连赢推荐,1 4
贈58元,赠58元,4
噔录,登录,1 4
翎取797沅,领取797元,1 4
荭包,红包,1
晡余,捕鱼,1
钭第注,斗地主,1 4
奇遇骑徘,棋牌,1
扑渝,捕鱼,1 4
地柱,斗地主,1 4
锦桦,金花,1 4
妞妞,牛牛,1
住测泠,注册领,1 4
祈.福.礼,博彩活动,7 10
晶..伴.您.前.行,赌博网站,7 10
粸牌,棋牌,1 4
得158￥,得158元,10
厦载翎,下载领,1
泷虣佰迦䒜䒜,百家乐,1 4
電孑,电子,4
捕瑜,捕鱼,1
其排,棋牌,1 4
領67园,领67元,1 4
彩漂,彩票,1 4
收米,赢钱,7
人㤨,人员,4
亚博,赌博平台,6
鑫品,新平台,1 6
易发棋牌,赌博平台,6
給388,赠送388元,6
捕鱼,赌博游戏,6
百家乐,赌博游戏,6
斗地柱,斗地主,1 4
戳,点击,6
实瀊茭易,实盘交易,1 4
貝自由秆赶,倍自由杠杆,1 4
槭猅,棋牌,4
吥渔,捕鱼,1 4
䒜䒜,牛牛,4
唞蒂茱,斗地主,1 4
粨夹樂,百家乐,1 4
莱鬆999嫄,来送999元,1 4
粸牌,棋牌,1 4
紅笣,红包,1 4
朂篙,最高,1 4
亚搏岭,亚博博彩,4
娶58体验,取58元体验,1 4
拇指戳,点击,6
丅傤,下载,1 4
紗德8.8,沙龙赠送8.8元,4
㳘宋68,送68元,4
嚸,点击,1 4
W粸牌,棋牌,3 4
验证码✥☀☀,验证码,9
VX,微信,2
扎｜卜｜䒜菳｜渔｜汼埖,炸金花｜捕鱼｜牛牛,4 8
註®侧,注册,4 10
茺1白㮸,充100,1 4
崴尼斯,威尼斯,4
现唫,现金,1 4
撽,邀,4
铃,领,4
唫嚎礼,金豪礼,1 4
入歀,入款,1 4
芫增,元赠,1 4
E到,已到,3
屠龙,屠龙刀（游戏道具）,6 10
沙巴克,沙巴克（游戏中的一个城堡）,10
圣龙裁决,圣龙裁决（游戏名称）,10
充100送481000送188,充值100送481，充值1000送188,6 8
美女空降,招嫖服务,7
苹果por,苹果Pro,8
28+38+18真送,赠送28元+38元+18元,6
报 案,报案,8
签 署,签署,8
撤 案,撤案,8
回归红包,赌博优惠,7
767。Q5p,赌博网站,10
骑湃,棋牌,1 4
柱栅缯夏裁缯,注册赠彩金,1 4
中药粉,毒品,7
誠撽,诚邀,4
卟漁,捕鱼,1 4
絔嘉泺,百家乐,1 4
唫誮,金花,1 4
汼汼,牛牛,4
岭,领,1 4
汏转磐,大转盘,1 4
尚线,上线,1 4
晋级,赌博或博彩活动中的升级,6
领取奖励,领取博彩或赌博活动的奖金,6
奥門,澳门,1 4
美高梅,博彩网站,6
開戶,开户,4
宋88,送88元,1 4
彩嘌,彩票,4
真人视讯,真人赌博,6
反水,返利,6
牜牜,牛牛,4
蚪哋宔,斗地主,1 4
锝,得,1
粸牌,棋牌,1 4
贈,赠,4
戳,点击,6
亚搏,亚博（博彩平台）,1 4
住册,注册,1 4
岭,领,1 4
推健,推荐,1
稳賺,稳赚,4
瀭苞,输包,1 4
賠本唫,赔本金,4
賺.钱,赚钱,4 10
咱爹,警察,7
禹簕,娱乐,1
粨枷牞,百家乐,1 4
泷虎,龙虎,1 4
诓浣,狂欢,1 4
芐崽锂煲,下载礼包,1 4
汧,钱,1 4
户秒送155￥,用户秒送155元,10
梆,绑,1 4
登,登录,6
其～拍,棋牌,1 4 10
注栅,注册,4
頌,送,1
沖,充,1
淇帕,棋牌,1 4
诵⑧⑧,送88,1 10
和多号,赌博网站,7
副号,备用联系方式,6
√,微信,10
3宵必茽,三消必中,1 4 10
暠充直,高充值,1 4
暠返俐,高返利,1 4
荖品牌蓜姿,老品牌博彩,1 4
VIP蓜恣仴俐媳,VIP博彩月利息,1 4
諟現秒到账,实时现秒到账,1 4
祺徘,棋牌,1 4
抖哋?柱,斗地主,1 4 10
紅窇,红包,4
JJ比赛,棋牌比赛,3
赢闹赢,赢钱,7
金币,虚拟货币,6
斗运会,赌博活动,7
赢金条大奖,赢取高价值奖品,6
摆珈嘞,百家乐,1
泷呼,龙虎,1 4
诓浣,狂欢,1
芐崽理褒戳,下载礼包,1 4
圆菜琻,彩金,1 4
福丽,福利,1
士guan朱华,炸金花,2 1
返ying,返赢,2
卟鱼,捕鱼,1
抖哋主,斗地主,1 4
扎鍂花,炸金花,1 4
垹锭,绑定,1 4
BBIN,博彩平台,3
下注,赌博,6
村一百到账两百,存100到账200,1 4 10
三百到账588,存300到账588,6 10
威信,微信,1
卟鱼,捕鱼,1
牜牜,牛牛,5
抖哋柱,斗地主,1 4
柏家嘞,百家乐,1 4
稘俳,棋牌,1 4
其棑,棋牌,1 4
补余,捕鱼,1 4
琻椛,金花,4
視训,视讯,1 4
茺宋,充值送,1 4
驻冊,注册,1 4
旗簰,棋牌,1
MT,平台或应用,3
娱乐建议转卡享加赠,赌博或博彩活动建议转账享受额外赠送,6 7
HiSVＶíρ,会员,3 10
囎9999沅,赠9999元,1 4
卟渔,捕鱼,1 4
茏琥乧,龙虎斗,1 4
祚妗埖,炸金花,4
乧哋拄,斗地主,1 4
渀肔寳骉,奔驰宝马,4
財諨链湝,财富链接,1 4
榨巾嬅,炸金花,1 4
补喻,捕鱼,1 4
住策,注册,1 4
頌,送,1
踩斤,彩金,1 4
杖护,账户,1 4
嚸,点,4
搏楽粸牌,博彩棋牌,1 4
牟牟,牛牛,4
攏俿,龙虎,4
扎琻錵,炸金花,1 4 6
紸測,注册,1 4
䭭冲,充值,1 4
⑧Ж㊣,会员,3 10
斗运会,赌博活动,6
粸牌,棋牌,1 4
蹴給,注册,7
噺用戸苞嬴,新用户包赢,1 4
逋魚,捕鱼,1 4
唫糀,金花,1 4
牜牜,牛牛,5
龙升旗簰,龙升棋牌,1 4
哺鱼,捕鱼,1 4
荭包,红包,4
汼汼,牛牛,4
铃18,零18,1 4
首茺宋,首充送,1 4
發財祺牌,发财棋牌,1 4
柱冊,注册,1 4
首寸譄,首存赠,4
菜票,彩票,4
回皿,回本,4
棈痽技劃,精锐计划,1 4
俬待,私带,1 4
裙,群,1 4
威,微信,1
qi排,棋牌,1 2
v1p,VIP,10
V1P,VIP,10
金化,金花,4
拾叁水,十三水,1 4
捉于,捕鱼,1 6
百佳勒,百家乐,1
點02660.cc首寸101贈119沅,点02660.cc首存101赠119元,1 4
大發188采琻,大发188彩票,1 4
f沖,充值,1 3
曾诵,赠送,1 4
萬人在綫,万人在线,4
汧户,客户,4
秒送555￥,秒送555元,10
葳,微,1
坭其斤人,你加入,1 4
妞,牛,1
扭,牛,1
地炷,地主,1 4
咑,打,1
渔,鱼,1 4
渣今糍,炸金花,1 4
街机電仔,街机电玩,4
住.冊,注册,1 4 10
即松,即送,1
浺,充,4
增,赠,4
彩漂,彩票,1 4
回血,赢回损失,6
收米,赢钱,6
稳賺,稳赚,4
人功计划,人工计划,4
暴富运势,快速致富的机会,6
时来运转,改变命运的机会，通常与赌博或非法活动相关,6
亚博,赌博网站,6
张户,账户,1
荭苞,红包,1 4
提yabo158嗲c0m,提取 yabo158.com,4 10
分期,贷款或分期付款服务,6
亚搏,亚博,1 4
住册,注册,1 4
岭58体验,领58体验,1 4
推健,推荐,1
九州旗簰,九州棋牌,1 4
莱颂,来送,1 4
679沅,679元,1 4
淇渒,棋牌,1 4
打魚,捕鱼,4 6
地柱,斗地主,4
牛/牛,牛牛,8 10
传奇佰种,传奇百种,1 4
沖88增88,充88赠88,1 4
特偠代码,特邀代码,1 4
美的空调、旗舰手机免费赢,通过赌博或非法活动赢取奖品,6
徵信,微信,4
莦三溤,小三码,4
採么,彩票,4
微,微信,6
鴻運禮佨,鸿运礼包,1 4
鼠前,数钱,1 4
秒提秒到,秒提现秒到账,6
埔魚,捕鱼,4
佰佳勒,百家乐,1 4
妞妞,牛牛,1
游艺,游戏,6
手机呺,手机号,1 4
點jj520.vip,点击jj520.vip,4 10
扎｜卜｜䒜菳｜渔｜汼埖,炸金花捕鱼牛牛,4 5 10
註®侧,注册,1 4 10
茺1白㮸一百,充100送100,4 10
熷,赠,4
手气,赌博运气,7
金視,金沙,4
琻幣,金币,1 4
舨本,版本,1 4
國漈荅塮,国际答谢,1 4
老繪員,老会员,1 4
茴歸匆值苞賠,回归充值包赔,1 4
回歸採今,回归彩金,1 4
茴雪,回血,1 4
哖台子,平台,4
荭苞,红包,1 4
短❤,短信,4 9
苹台,平台,1 4
祝策,注册,1
睬金,彩金,1 4
岭取,领取,1 4
卜🐠,捕鱼,1 9
佰人🐂,百人牛牛,1 4 9
嫲/姜,麻将,1 4 10
咋巾花,炸金花,1 4
柏嫁勒,百家乐,1 4
28～888嚸,28～888点,4 10
捕鱼,赌博游戏,7
發財電遊,发财电玩,4 6
柱冊,注册,1 4
緣首寸譄,元首寸赠,1
點,点,4
vtx助卌崧,微信助手送,1 3
浩禮禮,号礼礼,1 4
白种有系,白种游戏,1
埔与,捕鱼,1 4
白伽了,百家乐,1 4
曰洄,日回,1 4
佰,百,1 4
麒徘,棋牌,1
菜斤,彩金,1 4
垠垳咔,银行卡,1 4
歀忧蕙,款优惠,1 4
網子,网址,4
粸牌,棋牌,1 4
贈8888,赠8888元,4
囎妳,赠你,1 4
鲍鮽,捕鱼,4
妞.妞,牛牛,1 4 8 10
瀛,赢,1 4
珑唬,龙虎,1 4
+V,加微信,3 10
１８-８８８８,188888,10
領专“鼠”福利,领取专属福利,1 4 10
小情人,招嫖,7
新脯“惊,新福利,1 4 10
小福力,小福利,1
忪,送,1
唫,金,4
哺,捕,1 4
牜,牛,4
抖戳,抖音,7
拼bo,拼搏（博彩）,2
戳2slx.cn/4m,点击网址,6 10
sòng18-288￥,赠送18-288元,2 10
发才ya,发财呀,1 2 4
粸牌,棋牌,1 4
得158￥,得158元,10
吋,寸,1 4
宋,送,1
伶网,领网,1 4
扎｜卜｜䒜菳｜渔｜汼埖,炸金花捕鱼牛牛,1 4 10
註®侧,注册,1 4 10
茺1白㮸一百,充100送100,1 4 10
妞妞,牛牛,1
栢稼楽,百家乐,1 4
逋漁,捕鱼,1 4
老糊鸡,老虎机,1
驻測,注册,1 4
芬享领888琎,分享领888金,1 4
垹/掟,包/顶,4
沖掷,充值,1 4
嚸,点,1 4
盘她,博彩平台,7
菜金,彩金,1
加微,加微信,6
惊.喜,惊喜,8 10
卜🐟,捕鱼,1 9
🐂🐂,牛牛,9
粸牌,棋牌,1 4
贈8888,赠8888元,4
HiL2镁,Hello美女,3 1
逋,捕,4
淦钕,干女,1 4
鲨,杀,1 4
埖再,花在,1 4
䒜,草,4
嘛綫,上线,4
汼,牛,1 4
註®侧,注册,1 4 10
茺,冲,1
飞｜注,非正规投注,1 4 10
测陪｜其｜song玩｜排,彩票其送玩法,3 10
VX,微信,3
淇出,棋牌,1 4
微,微信,6
凖有,准有,4
壹逍,一宵,1 4
閗哋紸,斗地主,1 4
豆汼,斗牛,4
砸今花,炸金花,1 4
p新/葡/景,新葡京,1 2 4 10
李乐,利来,4
兲,天,4
賺,赚,4
瀭苞,输包,1 4
唫,金,1 4
理財,理财,4
圆菜,彩票,1 4
琻晋级福丽,金晋级福利,1 4
caR,彩票,3
卟魚,捕鱼,1 4
枓地主,斗地主,4
妞妞,牛牛,1
砸精花,炸金花,4
六和,六合彩,1 4
采,彩票,1 4
薇,微信,1 4
消费金,贷款或现金诱导,7
薇信,微信,1 4
沖掷,充值,1 4
宋,送,1
琪俳,棋牌,1 4
②②⑨沅,229元,1 4 10
鴻運禮佨,鸿运礼包,1 4
鼠前,数钱,1
浔,寻,1 4
v,微信,3
茺,冲,1
399,赠送399元,10
威ΝI斯人,威尼斯人,2
粸牌,棋牌,4
紅笣,红包,4
朂篙,最高,1 4
Rqq,QQ群,3
咋金椛,炸金花,1 4
妞妞,牛牛,1
逋魚,捕鱼,1 4
户立缯,注册赠,1 4
沖,充,1 4
增,赠,1 4
瞪碌,登录,1 4
包瀛,包赢,1
逋鲲,捕鱼,1 4
轧今桦,炸金花,1 4
杻扭,牛牛,1
餸,送,1 4
20￥,20元,10
玛,码,4
嶶信,微信,4
粸牌,棋牌,4
牜牜,牛牛,4
攏俿,龙虎,4
扎琻錵,炸金花,4
贈29,赠29元,4
䭭珫贈58,彩金赠58元,4
電|電|实|铳子,电子竞技赌博,4 8 10
直采,直采博彩,7
躰|平|讼漂|育|苔,体育博彩平台,4 8 10
36員詳情v,36元会员详情微信,3 4
粸牌,棋牌,4
紅笣,红包,4
朂篙,最高,4
幑信,微信,4
粸牌,棋牌,4
嶺,领,4
札琻,炸金花（赌博游戏）,4
岱宝平抬,贷款平台,4
扣,QQ,3
鼠哖,鼠年,4
祺簰,棋牌,4
充植,充值,4
㮸,赠,4
ィ乙,一,5 10
牪,牛,4
祚唫糀,炸金花,4
抓鱼,捕鱼,6
下栽,下载,4
旗簰,棋牌,4
荭包,红包,4
忧惠,优惠,4
烷转稘俳,玩转棋牌,4
妞扭,牛牛,1
抖哋拄,斗地主,4
忆澫荭鲍,一万红包,1 4
玱,送,4
苛媞,可提,4
理才APP,理财APP,4
日化率,日利率,4
娯乐,娱乐,4
贈,赠,4
取現,取现,4
丄祺,上期,1 4
鸡有中,几有中,1
羙囡嶶信,美女微信,4
Ⅰ霄俩码,一宵两码,10 1 4
不収曊,不收费,1 4
惘址,网址,1 4
注,注册,2
側淞,彩金,4
菿淞,到账,1 4
愘,客服,1 4
腹办,副本,1 4
太陽$诚,太阳城,1 4 10
閗哋紸,斗地主,1 4
豆汼,斗牛,1 4
砸今花,炸金花,1 4
賺,赚,4
剘,期,4
徵,微信,4
穩,稳,4
ygB,赌博,3
鼠,输,1
威,微信,1
薮,数,4
包賠,包赔,4
必营粸牌,必赢棋牌,1 4
嶺,领,1 4
苹苔,平台,1 4
镁钕,美女,1 4
钭地注,斗地主,1 4
哺渔,捕鱼,1 4
汼汼,牛牛,1 4
轧金花,扎金花,1 4
愘服,客服,1 4
铃,领,1 4
唫花,金花,1 4
卜魚,捕鱼,1 4
驻恻秒德,注册秒得,1 4
鸿煲茺淞,红包送,1 4
加Q,加QQ联系方式,3
注册送18体验金,注册赠送18元体验金,6
抽奖送彩金,抽奖赠送彩金,6
体育推荐不中包赔,体育博彩推荐不中包赔,
稘俳,棋牌,1 4
菳埖,金花,4
纽沑,牛牛,4
哺雨,捕鱼,1 4
抖哋拄,斗地主,1 4
巃唬,龙虎,1 4
红黑,红黑,
缇嚸,提点,1 4
特邀100送38-1088,特邀100送38-1088元,10
首單包賠188-1888,首单包赔188-1888元,4
再享最高888,再享最高888元,10
無限制1倍水,无限制1倍流水,4 6
姿,资,1 4
玳完彩漂,代玩彩票,1 4
芫,元,1 4
三杤,三万,4
旗牌,棋牌,1 4
点客网扯,点击网站,4
洦万荭包,百万红包,4
客戶,客户,4
Q群,QQ群,3
庭外调解,非正式解决方案,6
冻结,限制账户使用,6
查封,扣押财产,6
扎金椛,炸金花,4
卜魚,捕鱼,1 4
笼虍,龙虎,1 4
吽吽,牛牛,4
攸戏,游戏,1
下傤,下载,1
葱贝,充值,1 7
曾,赠,4
西游福利版,游戏推广,8
V12,VIP等级,3
GM号,游戏管理员账号,3
元宝,虚拟货币,6
回T退订,回复T退订,2
客戸,客户,4
预审,贷款预审,6
粸牌,棋牌,1 4
嶺,领,1
葡京,赌博网站,7
Q2222031690,QQ号码,3
Y🃏B,亚博,3 9
冲值🎉Song：88¥,充值送88元,1 2 4 9 10
真人体育C!'漂赢,真人体育博彩赢,3 10
粸牌,棋牌,1 4
555-8888,555-8888元,10
旗牌,棋牌,1 4
点客网扯,点击网站,4
洦万荭包,百万红包,1 4
风采,博彩,7
沙巴体育,赌博平台,7
滚球篮球,实时篮球赌博,6
棋牌游戏,棋牌赌博,6
vip,会员,3
沅,元,1 4
卜俞,捕鱼,1
Vip6,会员等级6,3
沅,元,1 4
粸牌,棋牌,1 4
牜牜,牛牛,4 5
琻錵,金花,1 4
眞人百嘉乐,真人百家乐,1 4
蹴,促,1
苞嬴,包赢,1 4
菜鸟,彩票,1 4 7
颂chr(39)贰〇,送20,1 10
渞充淞2x,充值送2倍,1 4 3
蕞髙58866,最高58866,1 4
婇唫,彩金,1 4
沅,元,1 4
汰|阳|城,太阳城,1 4 10
C.P,彩票,2
帯鎌,带赚,4
铮,挣,1 4
包回恤,包回本,6
十V,加微信,3 4
承喏,承诺,1 4
包锫,包赔,1 4
008琪的（🐭）13,六合彩的号码13,1 4 9
徾,微信,4
薮,数,4
没种，包賠,没中奖，包赔,1 4
GuI,贵,2
踩漂,彩票,1 4
V,微信,3
高博,赌博,4
诚=招,诚招,10
旗排,棋牌,1 4
地扯,地址,4
V信,微信,3
杖号,账号,1 4
噔路,登录,1 4
紷,领,4
￥xa,红包,3 10
齐排,棋牌,1 4
牜牜,牛牛,4
抓亿,捕鱼,6
顽家,玩家,1 4
㧤,提,4
嗱,拿,1 4
丅傤,下载,1 4
aPP,APP,3
礼苞,礼包,1 4
下栽,下载,1 4
玛,码,1 4
餸伱,送你,1 4
55￥,55元,10
旗排,棋牌,1 4
地扯,地址,4
每天结,日结工资,6
游戏,赌博游戏,7
粸牌,棋牌,4
咋金誮,炸金花,4
逋魚,捕鱼,4
龙虒,龙虎,4
䒜䒜,牛牛,4
蝣戏,游戏,1
守冲,首充,1 4
苞涪,包赔,1 4
诵2⑧,送28,1 10
诵5⑧,送58,1 10
诵⑧⑧,送88,1 10
饭水髙哒3﹪,返水高达3%,1 4 10
莱365k99.cc翎曲,来365k99.cc领取,4
金银到,贷款或博彩平台,7
戳,点击,6
加Q,添加QQ,3 6
稳賺,稳赚,4
瀭苞,博彩,4
賠本唫,赔本金,4
賺.钱,赚钱,4 8 10
vip,会员,3
沅,元,4
莱~其/排/555,来棋牌555,4 10
主卌立橧10→88,主力赠10到88,4 10
媞,提,4
豪李,豪礼,1
褀簰,棋牌,4
沅,元,4
囎,赠,4
哺魚,捕鱼,4
粸簰,棋牌,4
䒜䒜,牛牛,4
凭呠机号,凭手机号,4
驻測,注册,1 4
栢佳泺,百家乐,1 4
纽钮更哆京嘻,牛牛更多惊喜,1 4
囎,赠,4
哺魚,捕鱼,4
粸簰,棋牌,4
䒜䒜,牛牛,4
扑鱼,捕鱼,4
沖/还給,充值/返现,1 4 6 10
认証,认证,4
微X,微信,3
铽腰忧慧,特邀优惠,1 4
柏芬白柏,百分百,1 4
灯鹿,登陆,1
岭$取,领取,1 4 10
黑蝙蝠,勒索软件或诈骗组织,7
麻请,麻烦请,6
凤凰丸采票,凤凰网彩票,1 4
采票漏冻,彩票漏洞,1 4
稳钟,稳中,1 4
加威,加微信,1
逋/鱼,捕鱼,1 10
妞妞,牛牛,1 4
扎妗话,炸金花,1 4
垹/掟,绑定,1 4 10
沖掷,充值,1
微粒貸,微粒贷,4
偅汏潑哯,重大优惠,4
巳晉圱,已晋升,4
嘉濱,嘉宾,1
憕叺,请入,4
領掫,领取,4
囩,元,4
讼,送,1
沅,元,1 4
聆娶,领取,1 4
威,微信,1
粸牌,棋牌,1 4
咋金誮,炸金花,1 4
逋魚,捕鱼,1 4
龙虒,龙虾,4
䒜䒜,牛牛,4
蝣戏,游戏,1
下傤,下载,1 4
贈,赠,4
守冲,首充,1 4
西游福利版,非法游戏或赌博平台,7
V12,VIP等级12,3
元宝,虚拟货币,7
GM号,游戏管理员权限,3 7
晋级奖励,博彩奖励,7
滚球,实时投注,7
单场,单场投注,6
串关,多场连串投注,7
亞搏,亚博,1 4
鎹,送,1
噌,赠,4
神单,赌博推荐,7
賺,赚,4
瀭苞,输包,1 4
唫,金,4
理財,理财,4
賺.钱,赚钱,4 10
今曰,今日,4
大放水,赌博活动,7
緷,运,1
賺,赚,4
旗牌,棋牌,1 4
网扯,网址,4
洦万荭包,百万红包,1 4
荭苞,红包,1 4
點,点,4
齿亚盘,次亚盘,1
园,元,1 4
住ce,注册,1 2 4
甫-鱼,捕鱼,5 10
牜-牜,牛牛,5 10
喳-今-桦,炸金花,1 4 10
珑-琥,龙虎,1 4 10
沖888曾888,充888赠888,1 4
譆烊,喜洋,1 4
咹,安,1 4
札,扎,1 4
㸃,点,4
嶺,领,1
l补/与/扭/扭,捕鱼,1 3 4 5 10
茦给,刺激,1 4
客福岭,客服领取,1
旗牌,棋牌,1 4
豪礼,赌博奖励,6
旗棑,棋牌,1 4
佰加勒,百家乐,1 4
妞妞,牛牛,1
卜渔,捕鱼,1 4
逗第煮,斗地主,1
笼唬,龙虎,1 4
今花,金花,1 4
柱册,注册,1 4
聪,充,1
颂,送,1
mt首铳,mt首充,1 4
鎹,送,1
飛蜓赛唓,飞艇赛车,1 4
祺牌,棋牌,1 4
首茺,首充,1 4
下栽,下载,1 4
秒.嘚,秒得,1 4 10
牪.祚唫糀,牛牛坐庄金花,1 4 10
抓鱼,捕鱼,6
其俳,棋牌,1 4
金化,金花,4
妞妞,牛牛,1
补余,捕鱼,1 4
粨》镓嘞,百家乐,1 4 10
哋主,地主,1
红苞接隆,红包接龙,1 4
采巾,彩金,1 4
祝测,注册,1
客壶,客服,4
蕟$點,发点,4 10
mg冰求突,MG冰球突破,1 3 4
浆池,奖池,1 4
乐唬,乐虎,1 4
稳賺,稳赚,4
瀭苞,输包,1 4
賠本唫,赔本金,1 4
賺.钱,赚钱,4 10
鑫錵,金花,4
吽汼瀧琥,牛牛龙虎,4
贰捌,28,10
㮸,送,1
亚博,赌博平台,6
宋,送,1
扣扣,QQ,1
彩漂,彩票,1 4
回血,赢回输掉的钱,7
收米,赢钱,7
稳賺,稳赚,4
人功计划,人工计划,1 4
愽豞淇徘,博彩棋牌,1 4
琎,进,1
㮸,送,1
軆驗鑫,体验金,4
緹,提,1 4
海戰打魚,海战捕鱼,4 6
牛牛,牛牛（赌博游戏）,7
帯伱嗨,带你嗨,4
粸牌,棋牌,1 4
贈,赠,4
紅笣,红包,4
朂篙,最高,4
佰佳勒,百家乐,1 4
柒排,棋牌,1
妞妞,牛牛,1
兜帝柱,斗地主,1 4
扑鱼,捕鱼,4
今花,金花,4
妞妞,牛牛,1
斗地主,斗地主,
圆,元,1
海王钱庄,非法贷款机构,7
粸排,棋牌,1 4
Ｏ换２Ｏ０,兑换200,3 10
注卌冕,注册免费,4
領９９９+,领999+,4 10
回T退订,回复T退订,2
⑧发,发,1 10
⑧财,发财,1 10
點g,点击,3 4
开,开盘,6
沪秒,沪秒,
87￥,87元,10
綵,彩,4
氺,水,4
小V影,小视频,3 6
店紫,电子,1
骑派,棋牌,1 4
吥余,捕鱼,1
憎妳,赠你,1 4
誠.信`平臺,诚信平台,4 10
下#載,下载,4 10
领`288~,领取288,10
冲?2x,充值2倍,1 3 4 10
毎T葒苞雨,每天红包雨,2 4
同乐*乐娱,同乐城娱乐,8 10
苹.苔,平台,1 4 10
柱冊,注册,1 4
熷18-888,赠18-888,1 4
秒/兌,秒兑,4 10
苞,包,1 4
伽葳,加微信,1 4
荭苞,红包,1 4
其徘,棋牌,1 4
牪,牛,4
浦渔,捕鱼,4
58¥(1倍水提,58元彩金（1倍流水即可提现）,10
乐享娱乐,博彩平台,6
網鑚,网站,4
威风,微信,1 7
粸牌,棋牌,1 4
嶺,领取,1
祁猅,棋牌,1
腰夹宾,邀请宾客,1 4 7
袁,元,1 4
葳苨撕人,微信私人,1 7
亚博,赌博网站,6
红单,中奖单,6
坪台,平台,1 4
驻侧,注册,1 4
瀛了七杤,赢了七万,1 4
崴尼撕人,威尼斯人,1 4
撽,邀,4
注卌,注册,4
鎹,送,1
贝搏,博彩,1 4
稳定盘,稳定的赌博平台,6
丅载,下载,4
住冊,注册,1 4
🐂犇|🐲唬,牛牛|龙虎,1 4 9
來就送18-888,来就送18-888元,4
荆町,京东,1
Qin錵,金花,2 4
駐車,注册,1 4
俫,来,1 4
玛,码,1 4
餸,送,1
55￥,55元,10
剘,期,4
騳,赌,1
徵,微信,4
長剘,长期,4
穩,稳,4
旗牌,棋牌,1 4
眞人地主,真人斗地主,4
今花,金花,1 4
汼汼,牛牛,1 4
補渔,捕鱼,1 4
采徱,彩票,1 4
絔家勒,百家乐,1 4
宋,送,1
滚球,实时投注,6
单场,单场投注,6
串关,多场连串投注,6
１８-８８８８,18888,8 10
